Unnamed: 0,dim1,dim2,dim3,phase,library
SRR11286638,0.53476435,0.20577441,0.8195633,G2M,U2OS
SRR11286639,0.40250263,-0.83346254,0.37859195,G2M,U2OS
SRR11286640,-0.17884818,-0.56811655,0.8032788,G2M,U2OS
SRR11286641,-0.33649936,0.52240485,-0.78349304,G1-G0 transition,U2OS
SRR11286642,0.90256155,0.35445023,-0.24443369,S,U2OS
SRR11286643,-0.030109234,-0.75797033,0.6515937,G2M,U2OS
SRR11286644,-0.27264783,-0.6718871,0.6886443,G2M,U2OS
SRR11286645,0.6561314,0.08055249,0.75033516,G2M,U2OS
SRR11286647,0.78074807,-0.047543883,-0.62303466,S,U2OS
SRR11286649,0.9459241,0.31764412,0.0658014,S,U2OS
SRR11286650,0.62884015,-0.40049452,-0.66645646,G1,U2OS
SRR11286651,0.3812465,-0.5261616,-0.7601348,G1,U2OS
SRR11286652,0.12547468,-0.67225593,0.72960824,G2M,U2OS
SRR11286653,0.030703276,-0.9045185,-0.42532775,G1,U2OS
SRR11286654,0.8358709,0.5177248,-0.1824304,S,U2OS
SRR11286656,0.99092174,0.05973495,0.120440066,S,U2OS
SRR11286657,0.043565083,-0.58526725,0.80966926,G2M,U2OS
SRR11286658,0.648605,-0.68656236,-0.32854775,G1,U2OS
SRR11286659,0.9807027,0.1434563,-0.13282529,S,U2OS
SRR11286661,0.20525514,-0.6345916,0.74509317,G2M,U2OS
SRR11286662,-0.08456719,-0.78062844,0.6192475,G2M,U2OS
SRR11286663,0.51884156,-0.23302312,0.8224983,G2M,U2OS
SRR11286664,-0.84349895,0.49726567,-0.20306757,G1-G0 transition,U2OS
SRR11286665,0.31879035,-0.61644965,-0.719974,G1,U2OS
SRR11286666,0.23860767,-0.5323335,0.8122115,G2M,U2OS
SRR11286667,0.1817806,0.056552343,-0.9817116,G1,U2OS
SRR11286668,0.93122405,-0.03427229,0.36283204,S,U2OS
SRR11286669,0.86895216,-0.27749515,-0.40977848,G1,U2OS
SRR11286670,0.8392696,0.18856248,0.50997126,S,U2OS
SRR11286671,0.68470615,0.07902931,-0.72452193,G1,U2OS
SRR11286672,0.37407285,-0.43059608,-0.8213747,G1,U2OS
SRR11286673,0.17473127,-0.5545935,0.8135693,G2M,U2OS
SRR11286674,0.20494916,-0.97871125,0.010961337,G1,U2OS
SRR11286675,-0.09270776,-0.6019513,0.793133,G2M,U2OS
SRR11286676,-0.42232272,-0.5589902,0.7135638,G2M,U2OS
SRR11286677,0.96859646,0.22678368,0.10193217,S,U2OS
SRR11286678,-0.26694748,-0.9440643,-0.19360144,G1,U2OS
SRR11286679,-0.104731604,-0.8284886,0.5501255,G2M,U2OS
SRR11286680,0.75731194,0.65303963,0.0042294962,S,U2OS
SRR11286681,0.9624157,-0.032050904,0.26968253,S,U2OS
SRR11286683,0.89649534,0.1354282,0.42184752,S,U2OS
SRR11286684,0.9461244,0.15165089,0.28609583,S,U2OS
SRR11286685,0.83001405,0.17838746,0.5284455,S,U2OS
SRR11286686,0.67753327,0.2703997,0.68398297,S,U2OS
SRR11286687,0.8472531,-0.22697686,0.48025373,S,U2OS
SRR11286688,0.17515954,0.2709525,-0.946522,G1,U2OS
SRR11286689,0.43630534,-0.0042269793,0.89978874,G2M,U2OS
SRR11286690,-0.12928899,-0.60313565,0.7870906,G2M,U2OS
SRR11286691,-0.6569317,0.69464487,-0.29310274,G1-G0 transition,U2OS
SRR11286693,0.64635694,-0.12038669,0.75347847,G2M,U2OS
SRR11286694,0.8820627,0.4695062,0.039105333,S,U2OS
SRR11286695,0.6428089,-0.37026113,-0.67059916,G1,U2OS
SRR11286696,0.17662068,-0.9784606,-0.106864005,G1,U2OS
SRR11286697,-0.10268421,-0.94193494,-0.31971,G1,U2OS
SRR11286698,-0.33612993,0.5946808,-0.7303228,G1-G0 transition,U2OS
SRR11286699,0.9176629,0.22564213,0.3270786,S,U2OS
SRR11286700,0.68755215,-0.49451455,-0.5317211,G1,U2OS
SRR11286702,0.89080733,0.43867195,0.11844548,S,U2OS
SRR11286703,0.30446607,-0.64766246,-0.6984509,G1,U2OS
SRR11286704,0.46417302,-0.85049766,-0.24738026,G1,U2OS
SRR11286705,0.7993014,0.39223137,-0.455271,S,U2OS
SRR11286706,0.9006632,0.27421626,0.33706263,S,U2OS
SRR11286707,0.88550717,0.39990917,0.23653701,S,U2OS
SRR11286708,-0.9649122,0.25907704,-0.042702354,G1-G0 transition,U2OS
SRR11286709,0.76721233,0.5496123,-0.33062285,S,U2OS
SRR11286711,0.66004074,0.14703964,0.7366992,S,U2OS
SRR11286712,0.13448822,-0.7022632,0.6990988,G2M,U2OS
SRR11286713,0.341634,-0.9192621,-0.19555919,G1,U2OS
SRR11286714,0.82743293,0.54820395,-0.12176614,S,U2OS
SRR11286715,-0.14869921,-0.9842554,0.09555077,G1,U2OS
SRR11286716,0.37750316,0.13266972,0.9164552,G2M,U2OS
SRR11286717,-0.34530142,-0.4080512,0.8451397,G2M,U2OS
SRR11286718,0.696923,-0.52203155,-0.49171278,G1,U2OS
SRR11286719,0.34566683,-0.12563758,0.9299084,G2M,U2OS
SRR11286722,0.4684904,-0.15132956,-0.87041146,G1,U2OS
SRR11286723,0.043818627,-0.6565474,0.7530108,G2M,U2OS
SRR11286724,0.8719683,0.48831385,-0.034941934,S,U2OS
SRR11286725,0.79510254,0.4532666,0.4029407,S,U2OS
SRR11286726,0.4164795,-0.28963768,0.8617742,G2M,U2OS
SRR11286727,-0.18981616,-0.59575325,0.7804152,G2M,U2OS
SRR11286728,-0.20217772,-0.97171575,-0.12203569,G1,U2OS
SRR11286729,0.14107819,-0.98771924,-0.067137584,G1,U2OS
SRR11286730,0.113128684,-0.63728535,0.7622791,G2M,U2OS
SRR11286731,-0.8958459,0.44409883,0.0153711075,G1-G0 transition,U2OS
