cell_id,dim1,dim2,dim3,library,phase,fucci_time_hrs
SRR11286424,0.24275677,0.8207815999999999,-0.5170947,U2OS,G1,7.2738380000000005
SRR11286425,0.23629366,0.21022229,0.9486684999999999,U2OS,G1,1.424248
SRR11286426,0.8049046999999999,0.5677933000000001,-0.17245054,U2OS,S,11.546582
SRR11286427,0.24181995,-0.41864678,0.8753617,U2OS,G1,1.7294440000000002
SRR11286428,0.58785915,0.7144279,0.37949234,U2OS,G1,5.213765
SRR11286429,0.732376,0.4372957,-0.5219175,U2OS,S,10.554694999999999
SRR11286430,0.9283928,-0.37156364,0.0052027837,U2OS,G2M,22.431906
SRR11286431,0.88725275,-0.42705107,-0.17438436,U2OS,S,11.826345
SRR11286432,0.24062333,-0.8320053,0.4998675,U2OS,G2M,21.236555
SRR11286433,0.08207202,-0.17897497,0.9804244000000001,U2OS,G1,1.7548770000000002
SRR11286434,0.98958045,-0.13981144,0.034400005,U2OS,G2M,22.63537
SRR11286435,0.31064224,-0.61754763,0.72258997,U2OS,S,15.743027
SRR11286436,0.35447308,-0.85418904,0.3804075,U2OS,G2M,22.533638
SRR11286437,0.93104607,-0.34588873,0.11625021,U2OS,G2M,23.271195000000002
SRR11286438,0.14662214,-0.85256445,0.501633,U2OS,G2M,23.016865
SRR11286441,0.50671715,0.8613799000000001,0.035530332000000005,U2OS,S,9.486509
SRR11286442,0.47152132,-0.82613784,0.30848655,U2OS,G2M,20.727895
SRR11286443,0.82637036,0.301292,-0.47574693,U2OS,S,11.165087
SRR11286444,0.83363765,0.5417596,0.10744723,U2OS,S,10.402097
SRR11286445,0.73683023,-0.66227484,-0.1359163,U2OS,G2M,18.515224
SRR11286446,0.28487077,0.8798271000000001,0.38046396,U2OS,G1,5.747858
SRR11286447,0.63191396,-0.7724519,0.06326798,U2OS,G2M,24.008751999999998
SRR11286449,0.89562535,-0.30858228,-0.32036236,U2OS,G2M,18.260894
SRR11286450,0.81375206,0.039414275,-0.57987416,U2OS,S,9.562808
SRR11286451,0.8716078000000002,-0.0061897184,-0.49016464,U2OS,S,13.47949
SRR11286452,-0.9377880999999999,0.25536728,-0.23524675,U2OS,G1-G0 transition,3.204558
SRR11286453,0.8063161,-0.5787978,0.12185041,U2OS,G2M,20.804194
SRR11286454,0.5427466,0.7430789000000001,0.3914843,U2OS,G1,4.603373
SRR11286456,-0.17907725,0.5315449999999999,0.82788366,U2OS,G1,3.611486
SRR11286457,-0.08178118,0.18876123,-0.9786118,U2OS,G1-G0 transition,5.696992
SRR11286459,-0.95889187,0.23809576,-0.15439162,U2OS,G1-G0 transition,1.475114
SRR11286460,-0.9044965,-0.34053198,-0.25675657,U2OS,G1-G0 transition,4.679672
SRR11286461,0.9638252,-0.16023251,-0.21299422,U2OS,S,12.20784
SRR11286462,0.30196047,-0.78226614,0.5448666999999999,U2OS,G2M,18.973018
