,Feature,Class,AbsoluteSHAPValue
480,BLM,G0,0.0013433729935823904
481,BLM,G1,0.0009068208212928156
482,BLM,G1-G0 transition,0.0008421924397544318
483,BLM,G2M,0.00024076839730788772
484,BLM,S,0.000628883243648079
485,BMP2,G0,0.0002746570065809817
486,BMP2,G1,0.00063690181319572
487,BMP2,G1-G0 transition,0.0006612266110742292
488,BMP2,G2M,0.00025244437748237267
489,BMP2,S,0.0002695117730524546
490,BMPER,G0,0.0002661215495945809
491,BMPER,G1,0.0005570453218275246
492,BMPER,G1-G0 transition,0.0006706924596868258
493,BMPER,G2M,0.00019732626937277823
494,BMPER,S,0.00034638221267452437
495,BORA,G0,0.00029039165542201156
496,BORA,G1,0.0007526114835994654
497,BORA,G1-G0 transition,0.0005698329615778174
498,BORA,G2M,0.0003289819409712889
499,BORA,S,0.0005306731098335706
500,BRCA1,G0,0.0024486145426715683
501,BRCA1,G1,0.0016491888124677135
502,BRCA1,G1-G0 transition,0.0010704006754485183
503,BRCA1,G2M,0.0005724107853274131
504,BRCA1,S,0.002258841827337129
505,BRD8,G0,0.00032564338709769995
506,BRD8,G1,0.0006295437222269394
507,BRD8,G1-G0 transition,0.0006651074521978427
508,BRD8,G2M,0.00020070305464335632
509,BRD8,S,0.0005496683508830256
510,BRINP3,G0,0.0003415540692493476
511,BRINP3,G1,0.0006527831921314567
512,BRINP3,G1-G0 transition,0.0005502832055171822
513,BRINP3,G2M,0.00021851383089832493
514,BRINP3,S,0.0002608786942061687
515,BRIP1,G0,0.0004211792074002281
516,BRIP1,G1,0.0009065922244384838
517,BRIP1,G1-G0 transition,0.0007736007155941335
518,BRIP1,G2M,0.0003229662959241245
519,BRIP1,S,0.0006678266800156572
520,BRME1,G0,0.00022259952736554186
521,BRME1,G1,0.00045709609368942876
522,BRME1,G1-G0 transition,0.0005983371295300534
523,BRME1,G2M,0.00020317780015409982
524,BRME1,S,0.0002765855223810071
525,BRSK2,G0,0.000466408486078646
526,BRSK2,G1,0.0005443593287481147
527,BRSK2,G1-G0 transition,0.000628339320567575
528,BRSK2,G2M,0.0002464055111399974
529,BRSK2,S,0.000367394750820626
530,BUB1,G0,0.0006009583893972884
531,BUB1,G1,0.0027815723905207264
532,BUB1,G1-G0 transition,0.0008049336340766475
533,BUB1,G2M,0.0008249130377650983
534,BUB1,S,0.0013589288238812663
535,BUB1B,G0,0.0004372198408891862
536,BUB1B,G1,0.0023968693021560617
537,BUB1B,G1-G0 transition,0.00312681259263175
538,BUB1B,G2M,0.0008056029793450804
539,BUB1B,S,0.0007871706711690608
540,C10orf90,G0,0.000184749479860584
541,C10orf90,G1,0.0005549441466220651
542,C10orf90,G1-G0 transition,0.0005468588658000088
543,C10orf90,G2M,0.00023615843087380897
544,C10orf90,S,0.00024851339248477305
545,C11orf96,G0,0.00033448676408148173
546,C11orf96,G1,0.0005423535851208028
547,C11orf96,G1-G0 transition,0.0006355635153388077
548,C11orf96,G2M,0.00024221040413834933
549,C11orf96,S,0.0002408526171976304
550,C15orf48,G0,0.00034621650476710067
551,C15orf48,G1,0.0005237503621341341
552,C15orf48,G1-G0 transition,0.0005568327462158089
553,C15orf48,G2M,0.00015603104109496957
554,C15orf48,S,0.0002859695736484219
555,C16orf46,G0,0.00024018830735830185
556,C16orf46,G1,0.0007843294477872513
557,C16orf46,G1-G0 transition,0.0005880476093224375
558,C16orf46,G2M,0.00016226996459721966
559,C16orf46,S,0.00029151789594462544
560,C1QTNF1,G0,0.00023869990253688183
561,C1QTNF1,G1,0.0005858676804695695
562,C1QTNF1,G1-G0 transition,0.0006335327723757102
563,C1QTNF1,G2M,0.00015396935621974533
564,C1QTNF1,S,0.0002999747940806669
565,C1RL,G0,0.0006542765189128339
566,C1RL,G1,0.0005007503045827332
567,C1RL,G1-G0 transition,0.0008542152190215982
568,C1RL,G2M,0.0002608691575476084
569,C1RL,S,0.00037636088760015614
570,C21orf62,G0,0.00020872902361663707
571,C21orf62,G1,0.000671475592308252
572,C21orf62,G1-G0 transition,0.0005529167644602502
573,C21orf62,G2M,0.0001640654934416687
574,C21orf62,S,0.00042436663176712063
575,C2orf69,G0,0.00043591043617403647
576,C2orf69,G1,0.0007253597556682682
577,C2orf69,G1-G0 transition,0.0005616425959043219
578,C2orf69,G2M,0.00015761884776014615
579,C2orf69,S,0.00029494899866921743
580,C2orf72,G0,0.0002329701156286709
581,C2orf72,G1,0.000592570298141615
582,C2orf72,G1-G0 transition,0.0005722537830811321
583,C2orf72,G2M,0.00020713849674556617
584,C2orf72,S,0.0003279118221883728
585,C2orf92,G0,0.000306586749135968
586,C2orf92,G1,0.0006920194219328023
587,C2orf92,G1-G0 transition,0.0007257183759845397
588,C2orf92,G2M,0.00016176312848747358
589,C2orf92,S,0.00026547484615909947
590,C3,G0,0.000370775375710601
591,C3,G1,0.000615891413561712
592,C3,G1-G0 transition,0.0005909495964686784
593,C3,G2M,0.00022091128655350912
594,C3,S,0.00026615758921831687
595,C3orf33,G0,0.00033465547930141204
596,C3orf33,G1,0.0006771225031236309
597,C3orf33,G1-G0 transition,0.0006419839257656964
598,C3orf33,G2M,0.00024002233123588998
599,C3orf33,S,0.00039262134169073783
600,C3orf70,G0,0.00025629224047616164
601,C3orf70,G1,0.0007125237567108258
602,C3orf70,G1-G0 transition,0.0006090471964397903
603,C3orf70,G2M,0.0001381950598731542
604,C3orf70,S,0.00029359293643463726
605,C3orf80,G0,0.00018899040982316086
606,C3orf80,G1,0.0005254934704709927
607,C3orf80,G1-G0 transition,0.0005776218240813686
608,C3orf80,G2M,0.00019633924239389997
609,C3orf80,S,0.0004240582328433907
610,C6,G0,0.0002593417230419394
611,C6,G1,0.0004921635492230533
612,C6,G1-G0 transition,0.0006074541221628666
613,C6,G2M,0.00023212361436138372
614,C6,S,0.00032973010402918357
615,C6orf58,G0,0.00029229610057732386
616,C6orf58,G1,0.0006027247069134081
